时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2022-03-21,深度视觉,先进制造,A轮,1亿人民币,"通用创投（领投）, 惠友资本, 中关村启航基金, 高通Qualcomm Ventures",50000,先进制造、工业4.0、工业4.0,杭州深度视觉是一家工业检测领域解决方案提供商，利用分布式运算、人工智能、大数据等技术，面向传统汽车零部件、航空零部件、新能源、纺织、3C等领域用户，提供高精度外观检测的解决方案，帮助用户解决工业检测问题。,王帅林 创始人 王帅林，深度视觉创始人。 
2022-03-18,东岛新能源,传统制造,战略投资,未透露,基石资本,50000,传统制造、化工产业、新材料,东岛新能源是一家电池材料生产商，主要从事锂离子动力电池负极材料、正极材料、锂电池电解质材料、动力电池负极包覆材料等产品的生产，致力于为用户提供一体化的锂电池整体制造方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-18,莱特光电,先进制造,IPO上市,8.874亿人民币,,887300,先进制造、新材料、电子元器件,莱特光电是一家光电材料研发制造商，专业从事OLED材料、液晶材料、高纯电子化学品及专用化学品的研发、生产及销售，主要产品包括OLED材料及中间体、液晶单体及中间体、高纯电子化学及专用化学品等，应用于OLED/LCD产业、集成电路产业、太阳能光伏产业等。,王亚龙 董事长 王亚龙，1996年7月毕业于西北大学，学士学位，西安交通大学EMBA在读；1996年-1998年任咸阳偏转集团国际贸易部客户经理；1999年-2001年任咸阳偏转集团国际贸易部部门经理；2001年-2008年任陕西鸿瑞贸易有限公司总经理；2008年-2011年任中外合资企业陕西捷盈电子科技有限公司总经理。 
2022-03-18,深源技术,先进制造,天使轮,千万级人民币,聚合资本,5000,先进制造、新能源、新能源,"深源技术是一家储能PCS厂商，通过加高频隔离的ACDC或DCDC变换器，可以无限扩容；安全方面，通过高频变压器把危险电压和电池物理隔开；电池寿命方面，通过深源技术专利技术加持，解决了因锂电池均衡性带来的容量衰减、寿命变短问题。储能产品主要覆盖1-100kW储能PCS，具有高频隔离双向、超高效率（>96%）、多功能（充电/并网/离网）、超宽电压范围等特点。
",向小路 董事长 向小路，深源技术董事长。 
2022-03-16,忱芯科技,先进制造,Pre-A轮,近亿人民币,"东方嘉富（领投）, 原子创投",50000,先进制造、集成电路、新能源,忱芯科技是一家碳化硅功率半导体模块及应用解决方案提供商，主要为终端客户提供包括碳化硅功率半导体模块、驱动电路和碳化硅电力电子系统应用服务在内完整的“模块+”定制化应用解决方案，产品主要应用于航空、新能源发电、高端医疗以及石油开采等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-15,致德新能源,先进制造,B轮,未透露,"普华资本（领投）, 华睿投资",15000,先进制造、新能源、新能源,"致德新能源是一家锂电池用高容量硅负极材料研发商，专注于锂电池用高容量硅负极材料研发、生产及销售。致德新材以其强劲的研发实力，整合硅、碳领域的资源及技术，合成了新型硅碳负极材料，确保客户能够生产出性能更好的电池。目前公司已掌握了核心硅碳材料的低成本纳米化制备技术，同时通过自研核心设备打破了国外龙头对硅碳负极的硬件垄断，实现了低成本高品质的全产业链布局。
",房冰 董事长 房冰，致德新能源董事长。 
2022-03-14,星恒电源,先进制造,战略投资,9.5亿人民币,深创投,475000,先进制造、新能源、制造业,星恒电源股份有限公司成立于2003年12月，注册资金2.62亿元人民币。公司专注于以锰酸锂为正极材料的动力锂电池的开发，生产和销售，年产能5GWh，是国内知名的动力锂电池高新技术企业。通过15年的科技成功转化，星恒已为全球800万终端用户、4.5万多辆电动汽车提供产品和服务，并为全球新能源汽车提供动力电源解决方案。,陈立泉 创始人 陈立泉，星恒技术创始人，中科院与星恒联合实验室负责人；中国工程院院士，中国唯一的电池领域院士；曾荣获国家自然科学一等奖和国家有突出贡献中青年专家称号，发表论文200余篇，申报专利60余项；在国内首先研制成功锂离子电池，建成我国第一条锂离子电池中试生产线；为我国锂电池的研究、开发和产业化群体的形成奠定了坚实的基础。 黄学杰 首席科学家 黄学杰，星恒首席科学家，星恒创始人，中国锂电池的领军人物，中国科学院物理研究所研究员；1993年毕业于荷兰Delft技术大学获博士学位，代表物理所锂离子电池研究方面在国际期刊发表多篇论文；承担“863”新材料领域“锂离子电池关键材料”项目和“863”电动汽车重大专项“车用动力型锂离子电池”项目。 
2022-03-14,高能时代,先进制造,A轮,5000万人民币,"同创伟业（领投）, 中金资本, 欣旺达, 珠海高新创投",25000,先进制造、新能源、新能源,"高能时代是一家全固态锂电池研发商，致力于研发全固态锂电池产品。
",罗明 创始人 罗明，高能时代创始人。 
2022-03-11,博创宏远,先进制造,战略投资,1.13亿人民币,明冠新材,56500,先进制造、新能源、新能源,"博创宏远是一家锂电池正极材料研发商，研发、生产和销售锂电池正极材料及其原材料。
",赵杰 CEO  赵杰，博创宏远新材料有限公司总经理。 
2022-03-09,浙江恒威,先进制造,IPO上市,8.608亿人民币,,321400,先进制造、新能源、电池,"恒威电池是一家电池制造商，主要从事于高性能环保碱性电池和环保碳性电池的研发、生产及销售，产品有五号、七号碱性电池等，通过了质量管理体系认证IS09001:2015标准，并且业务范围遍布欧洲、美国、日韩等国家与地区。
",汪剑平 董事长 汪剑平，恒威电池的实控人之一。 
2022-03-09,联元智能科技,先进制造,B轮,5000万人民币,红杉资本中国,50000,先进制造、新能源、物联网,联元智能科技是一家创新型能源互联网综合增值服务商，公司依托资本和能源物联网平台，通过运用大数据、社交网络、机器学习和云计算等技术手段开发产品和解决方案，为有志于推动能源互联网生态演化并分享其巨大红利的源、网、荷、储等生态成员提供咨询、投资、数字化转型、增值运营等服务，旨在促进绿色能源消费，提升能源使用效率，释放共享经济潜力。,黄伟 执行董事 黄伟，上海联元智能科技有限公司创始人 
2022-03-08,协鑫能科,先进制造,IPO上市后,37.65亿人民币,"财通基金, 中信证券, JPMorgan摩根大通, 诺德基金, 广发证券, 博芮投资, 蜀道集团, 贵阳产控集团, 创朴新材料, 兴联城投资, 信达慧理财, 银河资本, 扬子江船业",1882500,先进制造、新能源、新材料,协鑫能科是一家移动能源服务商，系协鑫（集团）控股有限公司旗下控股企业。公司聚焦换电站一体化解决方案、换电站运营及能源服务、电池梯次利用三大业务。为用户提供清洁能源生产的电、热、冷等能源产品，同时稳步开展综合能源服务，为用户提供配售电、储能、能效管理、能源大数据等服务，独创“源-网-售-用-云”能源互联新模式，为用户提供智慧能源服务及一体化综合能源解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-08,太蓝新能源,先进制造,A+轮,未透露,碧桂园创投,10000,先进制造、新能源、新能源,太蓝新能源是一家新兴能源技术研发商，专注于新兴能源、资源再生利用以及电子专用材料技术研发，为用户提供电池销售、蓄电池租赁、石墨及碳素制品销售等服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-07,慧能泰,先进制造,B轮,数千万人民币,"华勤通讯, 龙旗科技",15000,先进制造、集成电路、新能源,慧能泰是一家混合信号芯片开发商，专注于高性能模拟和混合集成电路开发的定义、开发和商业化推广，主营以为分为USB接口与电池管理系统和智能化数字控制能源转换系统两大类，旗下产品可应用于新能源管理、智能化LED调光控制等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-04,众钠能源,先进制造,战略投资,未透露,碧桂园创投（领投）,50000,先进制造、新能源、电池,"众钠能源是一家钠离子电池研发商，该公司专注于钠离子电池研发领域，开发出多款钠离子电池正极材料的全套制备技术，其产品包括软包电池样品等。
",夏刚 创始人 夏刚，众钠能源创始人。 
2022-03-03,挚达科技,传统制造,战略投资,未透露,比亚迪,50000,传统制造、环保、环保,挚达科技是一家新能源汽车智能充电产品研发商，通过充电产品和车联网智能硬件的研发，结合电动汽车充电和绿色出行开放式共享平台，与电动汽车厂家及运营商，解决电动汽车用户出行问题。,黄志明 创始人 同济大学汽车系本科，复旦大学-香港大学IMBA，同济大学经济与管理学院博士，同济大学创新与创业兼职教授，德国联邦电动出行协会中国区主席，上海绿色出行服务产业创新联盟副理事长、秘书长，拥有上海大众汽车及大众动力总成12年工作经验，先后担任现场工程师、公司技术员、技术部门经理、规划及物流部总监等职务； 
2022-03-02,意美旭,先进制造,战略投资,数亿人民币,隆基股份,150000,先进制造、新能源、新能源,意美旭是一家光伏智能数字化整体解决方案公司，公司核心为自主研发智能优化系列产品，包括组件级MPPT智能优化芯片、智能优化器、智能组件和智能电站运维系统。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-02,中能锂电,先进制造,A轮,未透露,"金浦投资, 秀强股份, 金库资本, 无锡金投, 华睿资本",10000,先进制造、新能源、电池,中能锂电是一家锂电池应用和解决方案提供商，是一家为全球用户提供锂电池组、家庭储能系统、工商业储能系统、公共事业级储能系统定制化解决方案和产品的高新技术绿色能源企业。,秦嘉毅 创始人  秦嘉毅，中能锂电执行董事。 
2022-02-28,欣旺达电动,汽车交通,战略投资,24.3亿人民币,"小鹏汽车, IDG资本, 理想汽车, 蔚来资本, OPPO, 粤民投, 尚颀资本, 上汽恒旭, 天壹资本, 广汽集团, 华金资本(力合股份), 碧桂园创投, 深创投, 华友控股, 鑫旺绿色新能源投资, 东风资产, 东风交银汽车基金",1240000,汽车交通、汽车零部件、汽车配件,欣旺达电动是欣旺达电子股份有限公司子公司。致力于通过先进的锂电池集成技术，为中国乃至全球新能源车企提供电动汽车电池包解决方案。建立了电动汽车电池包领域完整的研发、制造能力，拥有完全自主知识产权的电池管理系统（BMS），高度自动化电芯分选、模组成组和电池包装配全自动化生产线。与众多知名汽车厂商建立了深度合作关系，为海内外整车纯电动/混动电池系统的研发及制造提供了整套解决方案。,王明旺 董事长 王明旺，1997年12月创立欣旺达有限公司，现任旺达电子股份有限公司董事长。自1993 年涉足电池模组行业以来，王明旺带领欣旺达公司成为苹果、联想等知名电子品牌厂商的锂电池供应商，更带领公司于2011年4月21日在深交所创业板上市， 股票代码为300207 。他1991年毕业于中山大学。 
2022-02-25,爱德曼氢能,先进制造,B轮,4亿人民币,"元禾控股（领投）, 华控基金（领投）, 麒盛科技, 上海城投, 兴产基金, 台州资管",400000,先进制造、新能源、新能源,爱德曼氢能是一家氢燃料汽车动力系统解决方案提供商，公司业务包括研发和生产金属双极板、膜电极、质子膜燃料电池（PEMFC），是以燃料电池系统为核心部件的氢燃料汽车动力系统解决方案提供商之一。,徐黎明 创始人 徐黎明，爱德曼氢能源创始人、董事长。 
2022-02-25,能量奇点,先进制造,天使轮,4亿人民币,"米哈游（领投）, 蔚来资本（领投）, 红杉种子基金, 蓝驰创投",200000,先进制造、新能源、新能源,能量奇点是一家聚变设备运行控制软件研发商，聚焦于研制有商业发电潜力的高磁场、高参数、标准化的高温超导托卡马克装置及其运行控制软件系统，致力于探索可商业化的聚变能源技术，为未来商业聚变发电堆提供高性价比、高可靠性的核心组件和服务，并最终实现人类能源自由。,杨钊 CEO 杨钊，能量奇点联合创始人、CEO。本科毕业于北大物理系，博士毕业于斯坦福大学理论物理和人工智能交叉方向。回国后，曾创办AI+钢琴项目元悦科技。 叶雨明 联合创始人 叶雨明，光信资本合伙人，能量奇点联合创始人。在创办光信资本之前，叶先生任职于KKR。叶先生毕业于清华大学，获得工学学士学位和管理学硕士学位。主要关注电商、游戏、智能硬件、消费医疗等领域，投资案例包括：有壹手、账贷通、每日优鲜、瓜子二手车、Ucloud、挖财、美利金融等。 
2022-02-21,力高技术,汽车交通,C轮,未透露,普华资本,25000,汽车交通、汽车零部件、电动车,力高是一家新能源汽车电控系统提供商，覆盖电池管理、电池成组、电力驱动、充电设备等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-21,First Light Fusion,先进制造,C轮,4500万美元,"Hostplus, 腾讯投资, Oxford Science Enterprises, IP Group plc, Braavos Capital",146250,先进制造、新能源、新能源,First Light Fusion是一家英国核聚变技术研发商，主要利用惯性约束聚变技术来进行能源发电，并通过使用高速射弹压缩技术来产生聚变所需的温度和压力，从而满足全球能源系统脱碳的需求，致力于为行业用户提供安全且清洁的新能源及服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-17,泰吉诺,先进制造,A+轮,未透露,英诺天使基金,10000,先进制造、新材料、新材料,泰吉诺旨在提供芯片层级用电子材料整体解决方案，专注于研发、制造、销售高端导热界面材料（TIM1、TIM1.5&TIM2）、导热吸波复合材料，为客户提供一体化解决方案，解决电子行业产品“热点”及“痛点”问题，产品包含导热垫片、导热绝缘片、导热单/双组份凝胶、导热脂、导热相变化材料、液态金属材料、导热吸波复合材料，产品广泛应用于电信、数据通讯、手机、计算机、通用电子装置、网络设备、航空航天、国防、汽车电子以及医疗设备等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-16,Britishvolt,先进制造,C轮,2亿英镑,"花旗银行Citibank, 嘉能可（领投）, 美国银行, Peel Hunt",880000,先进制造、新能源、新能源,Britishvolt是一家英国新能源汽车电池管理提供商，该公司通过制造低碳新能源电池，致力于为其电动汽车提供新能源电池动力、电池储能等业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-14,如鲲新材料,先进制造,战略投资,1.2亿人民币,中保投资,60000,先进制造、新能源、电池,"如鲲新材料是一家锂电池电解液开发商，主要从事锂电池电解液添加剂、半导体相关的高端电子化学品材料以及功能性高分子材料单体的研发、生产和销售。公司是双氟磺酰亚胺锂（LiFSI）重要生产商，主要产品有二氟草酸硼酸锂、二氟磷酸锂、二草酸硼酸锂、双氟磺酰亚胺锂等，并生产其他电子化学品。
",杨斌 董事长 杨斌，如鲲新材料董事长。 
